        Condition  OpTypeLeft  CW_Left  OpTypeRight  CW_Right
  226:      0          2         1           2            5
  227:      0          2         2           2            6
  228:      0          2         3           2            7
  229:      0          2         4           2            1
  230:      0          2         5           2            2
  231:      0          2         6           2            3
  232:      0          2         7           2            4
  233:      0          2         1           2            5
  234:      0          2         2           2            6
  235:      0          2         3           2            7
  236:      0          2         4           2            1
  237:      0          2         5           2            2
  238:      0          2         6           2            3
  239:      0          2         7           2            4
  240:      0          2         1           2            5
  241:      0          2         2           2            6
  242:      0          2         3           2            7
  243:      0          2         4           2            1
  244:      0          2         5           2            2
  245:      0          2         6           2            3
  246:      0          2         7           2            4
  247:      0          2         1           2            5
  248:      0          2         2           2            6
  249:      0          2         3           2            7
  250:      0          2         4           2            1
  251:      0          2         5           2            2
  252:      0          2         6           2            3
  253:      0          2         7           2            4
  254:      0          2         1           2            5
  255:      0          2         2           2            6
